Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,100uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D4, D5, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,32,1N4148,
D33,D_A-405_P7.62mm_Horizontal,1,5v1,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J3,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
"Q1, Q10, Q11P1, Q12M1, Q13N1, Q14O1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TO-92_Inline,14,BC548,
"R1, R13, R14, R15, R16, R2, R21, R22, R23, R24, R3, R4, R5, R6",R_Box_L8.4mm_W2.5mm_P5.08mm,14,1k,
"R10, R11, R12, R17, R18, R19, R20, R25, R26, R27, R28, R7, R8, R9",R_Box_L8.4mm_W2.5mm_P5.08mm,14,100k,
SW1,SW_SMD_key,1,SW_1,
SW10,SW_SMD_key,1,SW_EXT,
SW11,SW_SMD_key,1,SW_CPLOK,
SW12,SW_SMD_key,1,SW_GRAPH,
SW13,SW_SMD_key,1,SW_TRUE,
SW14,SW_SMD_key,1,SW_INV,
SW15,SW_SMD_key,1,SW_3,
SW16,SW_SMD_key,1,SW_E,
SW17,SW_SMD_key,1,SW_D,
SW18,SW_SMD_key,1,SW_X,
SW19,SW_SMD_key,1,SW_4,
SW2,SW_SMD_key,1,SW_Q,
SW20,SW_SMD_key,1,SW_R,
SW21,SW_SMD_key,1,SW_F,
SW22,SW_SMD_key,1,SW_C,
SW23,SW_SMD_key,1,SW_5,
SW24,SW_SMD_key,1,SW_T,
SW25,SW_SMD_key,1,SW_G,
SW26,SW_SMD_key,1,SW_V,
SW27,SW_SMD_key,1,SW_6,
SW28,SW_SMD_key,1,SW_Y,
SW29,SW_SMD_key,1,SW_H,
SW3,SW_SMD_key,1,SW_A,
SW30,SW_SMD_key,1,SW_B,
SW31,SW_SMD_key,1,SW_7,
SW32,SW_SMD_key,1,SW_U,
SW33,SW_SMD_key,1,SW_J,
SW34,SW_SMD_key,1,SW_N,
SW35,SW_SMD_key,1,SW_RiGhT,
SW36,SW_SMD_key,1,SW_LFT,
SW37,SW_SMD_key,1,SW_DWN,
SW38,SW_SMD_key,1,SW_UP,
SW39,SW_SMD_key,1,SW_8,
"SW4, SW5",SW_SMD_key,2,SW_SHFT,
SW40,SW_SMD_key,1,SW_I,
SW41,SW_SMD_key,1,SW_K,
SW42,SW_SMD_key,1,SW_M,
SW43,SW_SMD_key,1,SW_9,
SW44,SW_SMD_key,1,SW_O,
SW45,SW_SMD_key,1,SW_L,
SW46,SW_SMD_key,1,SW_SYMB,
SW47,SW_SMD_key,1,SW_0,
SW48,SW_SMD_key,1,SW_P,
SW49,SW_SMD_key,1,SW_ENT,
SW50,SW_SMD_key,1,SW_SPC,
SW51,SW_SMD_key,1,SW_DEL,
SW52,SW_SMD_key,1,SW_EDT,
SW53,SW_SMD_key,1,SW_BRK,
SW54,SW_SMD_key,1,SW_dotvirg,
SW55,SW_SMD_key,1,SW_asp,
SW56,SW_SMD_key,1,SW_dot,
SW57,SW_SMD_key,1,SW_virg,
SW6,SW_SMD_key,1,SW_2,
SW7,SW_SMD_key,1,SW_W,
SW8,SW_SMD_key,1,SW_S,
SW9,SW_SMD_key,1,SW_Z,
