Designator,Mid X,Mid Y,Rotation,Layer
C1,66.25,-47.5,0.0,bottom
D1,263.0,-46.69,270.0,bottom
D10,290.19,-57.5,180.0,bottom
D11,310.81,-58.0,0.0,bottom
D12,207.31,-39.5,0.0,bottom
D13,217.69,-39.5,180.0,bottom
D14,164.81,-39.5,0.0,bottom
D15,174.5,-47.19,270.0,bottom
D16,196.19,-39.5,180.0,bottom
D17,228.81,-39.5,0.0,bottom
D18,154.19,-39.5,180.0,bottom
D19,179.0,-47.31,90.0,bottom
D2,213.81,-50.5,0.0,bottom
D20,175.69,-39.5,180.0,bottom
D21,81.5,-58.19,270.0,bottom
D22,86.0,-58.19,270.0,bottom
D23,142.5,-57.5,270.0,bottom
D24,138.5,-57.19,270.0,bottom
D25,94.5,-46.69,270.0,bottom
D26,116.5,-58.19,90.0,bottom
D27,113.5,-58.19,90.0,bottom
D28,114.69,-48.0,180.0,bottom
D29,98.5,-46.5,270.0,bottom
D3,86.0,-47.5,90.0,bottom
D30,120.0,-58.19,90.0,bottom
D31,131.19,-53.5,0.0,bottom
D32,114.69,-51.0,180.0,bottom
D33,67.5,-58.5,0.0,bottom
D4,267.0,-46.69,270.0,bottom
D5,321.19,-58.0,180.0,bottom
D6,246.5,-46.69,270.0,bottom
D7,202.0,-47.19,270.0,bottom
D8,90.0,-47.5,90.0,bottom
D9,263.19,-57.5,180.0,bottom
J1,66.96,-41.0,90.0,bottom
J2,127.08,-39.0,270.0,bottom
J3,255.35,-39.0,270.0,bottom
Q1,130.5,-45.23,270.0,bottom
Q10,180.5,-58.73,270.0,bottom
Q11P1,96.5,-59.23,270.0,bottom
Q12M1,132.0,-58.73,270.0,bottom
Q13N1,148.5,-58.73,270.0,bottom
Q14O1,104.5,-59.23,270.0,bottom
Q2,137.0,-45.23,270.0,bottom
Q3,143.5,-45.23,270.0,bottom
Q4,221.5,-60.73,270.0,bottom
Q5,229.5,-60.73,270.0,bottom
Q6,280.0,-59.73,270.0,bottom
Q7,165.5,-58.73,270.0,bottom
Q8,172.5,-58.73,270.0,bottom
Q9,204.5,-60.73,270.0,bottom
R1,234.0,-46.96,270.0,bottom
R10,221.0,-47.04,90.0,bottom
R11,104.46,-38.5,180.0,bottom
R12,94.46,-38.5,180.0,bottom
R13,170.5,-46.96,270.0,bottom
R14,186.04,-39.5,0.0,bottom
R15,207.0,-46.96,270.0,bottom
R16,151.0,-46.46,270.0,bottom
R17,165.5,-47.04,90.0,bottom
R18,183.5,-47.54,90.0,bottom
R19,188.5,-47.54,90.0,bottom
R2,242.0,-46.96,270.0,bottom
R20,157.96,-49.0,180.0,bottom
R21,103.0,-46.46,270.0,bottom
R22,124.0,-57.96,270.0,bottom
R23,149.54,-53.0,180.0,bottom
R24,109.5,-57.96,270.0,bottom
R25,107.0,-46.54,90.0,bottom
R26,124.0,-48.54,90.0,bottom
R27,142.54,-39.0,0.0,bottom
R28,102.46,-54.0,0.0,bottom
R3,197.5,-47.46,270.0,bottom
R4,225.5,-46.96,270.0,bottom
R5,253.54,-57.5,180.0,bottom
R6,290.54,-62.0,180.0,bottom
R7,229.5,-47.04,90.0,bottom
R8,238.0,-47.04,90.0,bottom
R9,193.0,-47.54,90.0,bottom
SW1,90.93,-66.35,0.0,top
SW10,85.43,-105.35,0.0,top
SW11,95.43,-124.85,0.0,top
SW12,73.93,-85.85,0.0,top
SW13,299.93,-66.35,0.0,top
SW14,319.43,-66.35,0.0,top
SW15,128.93,-66.35,0.0,top
SW16,138.43,-85.85,0.0,top
SW17,142.93,-105.35,0.0,top
SW18,133.43,-124.85,0.0,top
SW19,147.93,-66.35,0.0,top
SW2,99.93,-85.85,0.0,top
SW20,157.43,-85.85,0.0,top
SW21,162.43,-105.35,0.0,top
SW22,152.43,-124.85,0.0,top
SW23,166.93,-66.35,0.0,top
SW24,176.43,-85.85,0.0,top
SW25,181.43,-105.35,0.0,top
SW26,171.93,-124.85,0.0,top
SW27,185.93,-66.35,0.0,top
SW28,195.43,-85.85,0.0,top
SW29,200.43,-105.35,0.0,top
SW3,104.93,-105.35,0.0,top
SW30,191.16,-124.89,0.0,top
SW31,204.93,-66.35,0.0,top
SW32,214.43,-85.85,0.0,top
SW33,219.43,-105.35,0.0,top
SW34,210.43,-124.85,0.0,top
SW35,314.93,-105.35,0.0,top
SW36,295.93,-105.35,0.0,top
SW37,310.43,-85.85,0.0,top
SW38,290.93,-85.85,0.0,top
SW39,223.93,-66.35,0.0,top
SW4,66.93,-124.85,0.0,top
SW40,233.93,-85.85,0.0,top
SW41,238.66,-105.35,0.0,top
SW42,229.43,-124.85,0.0,top
SW43,242.93,-66.35,0.0,top
SW44,252.93,-85.85,0.0,top
SW45,257.93,-105.35,0.0,top
SW46,305.43,-124.85,0.0,top
SW47,261.93,-66.35,0.0,top
SW48,271.93,-85.85,0.0,top
SW49,329.43,-85.85,0.0,top
SW5,286.43,-124.85,0.0,top
SW50,200.27,-142.35,0.0,top
SW51,336.93,-105.35,0.0,top
SW52,68.93,-66.35,0.0,top
SW53,338.43,-66.35,0.0,top
SW54,276.93,-105.35,0.0,top
SW55,280.93,-66.35,0.0,top
SW56,248.43,-124.85,0.0,top
SW57,267.43,-124.85,0.0,top
SW6,109.93,-66.35,0.0,top
SW7,118.93,-85.85,0.0,top
SW8,123.93,-105.35,0.0,top
SW9,114.43,-124.85,0.0,top
